X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-72.1455,43.233,204,56399,Lempster Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Lempster,Sullivan,New Hampshire,3605,106 NE Bean Mt Road,wind,24,24,0,0,0,0,0,0,0,24,Wind = 24 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.233,-72.1455,0,0,0,0
-89.6236,41.3017,205,56408,Agriwind,"AgriWind Project, LLC",54789,IPP Non-CHP,Tiskilwa,BUREAU,Illinois,61368,10632 1200 East Street,wind,8.4,8.4,0,0,0,0,0,0,0,8.4,Wind = 8.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,41.3017,-89.6236,0,0,0,0
-96.4303,44.0256,206,56409,Stahl Wind Energy,Stahl Wind Energy LLC,54790,IPP Non-CHP,Pipestone,Pipestone,Minnesota,56164,1183 15th Ave,wind,1.7,1.7,0,0,0,0,0,0,0,1.7,Wind = 1.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.0256,-96.4303,0,0,0,0
-96.4369,44.0247,207,56410,Carstensen Wind,Carstensen Wind LLC,54791,IPP Non-CHP,Pipestone,Pipestone,Minnesota,56164,204 91st Street,wind,1.7,1.7,0,0,0,0,0,0,0,1.7,Wind = 1.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.0247,-96.4369,0,0,0,0
-96.4367,44.015,208,56411,Northern Lights Wind LLC,Northern Lights Wind LLC,54792,IPP Non-CHP,Pipestone,Pipestone,Minnesota,56164,164 121st Street,wind,1.7,1.7,0,0,0,0,0,0,0,1.7,Wind = 1.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.015,-96.4367,0,0,0,0
-96.4406,44.0211,209,56412,Lucky Wind,Lucky Wind LLC,54793,IPP Non-CHP,Pipestone,Pipestone,Minnesota,56164,188 121st Street,wind,1.7,1.7,0,0,0,0,0,0,0,1.7,Wind = 1.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.0211,-96.4406,0,0,0,0
-96.4331,44.0208,210,56413,Greenback Energy,Greenback Energy LLC,54794,IPP Non-CHP,Pipestone,Pipestone,Minnesota,56164,1148 15th Ave,wind,1.7,1.7,0,0,0,0,0,0,0,1.7,Wind = 1.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.0208,-96.4331,0,0,0,0
-95.175,44.502778,211,56414,Redwood Falls Wind,Southern Minnesota Mun P Agny,40580,Electric Utility,Redwood Falls,Redwood,Minnesota,56383,31298 Knox Ave (CO. Rd 17),wind,3.4,3.4,0,0,0,0,0,0,0,3.4,Wind = 3.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.502778,-95.175,0,0,0,0
-94.446667,43.575,212,56415,Fairmont Wind,Southern Minnesota Mun P Agny,40580,Electric Utility,Fairmont,Martin,Minnesota,56031,589 Hwy 15,wind,5.4,5.2,0,0,0,0,0,0,0,5.2,Wind = 5.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.575,-94.446667,0,0,0,0
-82.9633,43.7092,213,56416,Michigan Wind 1,"Michigan Wind 1, LLC",54800,IPP Non-CHP,Ubly,Huron,Michigan,48475,1387 East Atwater Road,wind,69,69,0,0,0,0,0,0,0,69,Wind = 69 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.7092,-82.9633,0,0,0,0
-92.59882,43.61407,214,56424,Mower County Wind Energy Center,FPL Energy Mower County LLC,54819,IPP Non-CHP,Grand Meadow,Mower,Minnesota,55936,72506 180th Street,wind,98.9,98.9,0,0,0,0,0,0,0,98.9,Wind = 98.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.61407,-92.59882,0,0,0,0
-102.303056,35.291944,215,56432,Wildorado Wind LLC,NRG Energy Gas & Wind Holdings Inc,59883,IPP Non-CHP,Vega,Oldham,Texas,79092,6798 CO RD 42,wind,161,161,0,0,0,0,0,0,0,161,Wind = 161 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.291944,-102.303056,0,0,0,0
-118.175356,35.248006,216,56433,Pine Tree Wind Power Project,Los Angeles Department of Water & Power,11208,Electric Utility,Cantil,Kern,California,93519,near Majove Desert,wind,135,135,0,0,0,0,0,0,0,135,Wind = 135 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.248006,-118.175356,0,0,0,0
-113.926605,42.490341,217,56434,Burley Butte Windpark,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Burley,Cassia,Idaho,83318,Section 6 Twp 11S Range 22E,wind,21.3,21.3,0,0,0,0,0,0,0,21.3,Wind = 21.3 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.490341,-113.926605,0,0,0,0
-113.925536,42.436804,218,56435,Golden Valley Wind Park LLC,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Burley,Cassia,Idaho,83318,605 S 600 W,wind,12,12,0,0,0,0,0,0,0,12,Wind = 12 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.436804,-113.925536,0,0,0,0
-114.017297,42.460629,219,56437,Milner Dam Wind Park LLC,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Burley,Cassia,Idaho,83318,Section 26 Twp 10S Range 20E,wind,19.5,19.5,0,0,0,0,0,0,0,19.5,Wind = 19.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.460629,-114.017297,0,0,0,0
-114.989722,42.840556,220,56439,Oregon Trail Wind Park,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Hagerman,Twin Falls,Idaho,83332,289 E 5900 N,wind,13.5,13.5,0,0,0,0,0,0,0,13.5,Wind = 13.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.840556,-114.989722,0,0,0,0
-114.998611,42.7975,221,56440,Pilgrim Stage Wind Park,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Hagerman,Twin Falls,Idaho,83332,Section 31 Twp 7 S Range 12 E,wind,10.5,10.5,0,0,0,0,0,0,0,10.5,Wind = 10.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.7975,-114.998611,0,0,0,0
