,X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW,x_en,y_en,LAT,LON
324,-94.9142,43.8953,325,56755,Odin Wind Farm LLC,NRG Energy Gas & Wind Holdings Inc,59883,IPP Non-CHP,Mountainlake,Cottonwood,Minnesota,56159,56813 County Road 44,wind,20.0,20.0,0,0.0,0,0,0,0,0.0,20.0,Wind = 20 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.8953,-94.9142,0,0.0,0,0,-10565800.413050925,5449253.887413917,43.8953,-94.9142
325,-101.018936,31.951958,326,56763,Capricorn Ridge Wind LLC,Capricorn Ridge Wind LLC,55958,IPP Non-CHP,Sterling City,Sterling,Texas,76951,Unnammed Road,wind,662.5,662.5,0,0.0,0,0,0,0,0.0,662.5,Wind = 662.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,31.951958,-101.018936,0,0.0,0,0,-11245376.51599829,3757006.0188586307,31.951958,-101.018936
326,-93.77,43.315,327,56764,Winnebago Wind Power Project,Avangrid Renewables LLC,15399,IPP Non-CHP,Forest City,Winnebago,Iowa,50436,11995 380th Street,wind,20.0,20.0,0,0.0,0,0,0,0,0.0,20.0,Wind = 20 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.315,-93.77,0,0.0,0,0,-10438428.651685262,5360041.628282627,43.315,-93.77
327,-93.091,43.393,328,56765,Barton Windpower LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Kensett,Worth,Iowa,50448,1143 410th Street,wind,160.0,160.0,0,0.0,0,0,0,0,0.0,160.0,Wind = 160 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.393,-93.091,0,0.0,0,0,-10362842.717436628,5371983.054335498,43.393,-93.091
328,-95.5228,40.575,329,56767,Farmers City Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Tarkio,Atchison,Missouri,64491,13987 U.S. Highway 59,wind,146.0,146.0,0,0.0,0,0,0,0,0.0,146.0,Wind = 146 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.575,-95.5228,0,0.0,0,0,-10633549.455147713,4949854.9321850445,40.575,-95.5228
329,-76.1547,40.8411,330,56770,Locust Ridge II LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Shenandoah,Schuylkill,Pennsylvania,17976,711 Raven Run Road,wind,102.0,102.0,0,0.0,0,0,0,0,0.0,102.0,Wind = 102 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.8411,-76.1547,0,0.0,0,0,-8477502.425514512,4988932.126866869,40.8411,-76.1547
330,-98.476051,32.338659,331,56771,Silver Star I Wind Power Project,Silver Star I Power Partners LLC,62076,IPP Non-CHP,Dublin,Erath,Texas,76446,10893 CR397,wind,60.0,60.0,0,0.0,0,0,0,0,0.0,60.0,Wind = 60 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.338659,-98.476051,0,0.0,0,0,-10962303.852652438,3807847.440424797,32.338659,-98.476051
331,-100.967402,33.752201,332,56773,McAdoo Wind Energy LLC,Invenergy Services LLC,49893,IPP Non-CHP,McAdoo,Dickens,Texas,79243,401 W FM 193,wind,150.0,150.0,0,0.0,0,0,0,0,0.0,150.0,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,33.752201,-100.967402,0,0.0,0,0,-11239639.777359752,3995577.009478105,33.752201,-100.967402
332,-100.2686,32.1981,333,56774,Turkey Track Wind Energy LLC,Invenergy Services LLC,49893,IPP Non-CHP,Blackwell,Nolan,Texas,79537,4310 A Hwy 153,wind,169.5,169.5,0,0.0,0,0,0,0,0.0,169.5,Wind = 169.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.1981,-100.2686,0,0.0,0,0,-11161849.49455443,3789342.513270925,32.1981,-100.2686
333,-100.793333,32.718056,334,56775,Scurry County Wind II,Invenergy Services LLC,49893,IPP Non-CHP,Snyder,Scurry,Texas,79549,6543 E Hwy,wind,120.0,120.0,0,0.0,0,0,0,0,0.0,120.0,Wind = 120 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.718056,-100.793333,0,0.0,0,0,-11220262.504916858,3857940.1312433905,32.718056,-100.793333
334,-101.473611,32.240278,335,56776,Gunsight Mountain Wind Energy LLC,Invenergy Services LLC,49893,IPP Non-CHP,Big Spring,Howard,Texas,79720,17012 North County Road 33,wind,120.0,120.0,0,0.0,0,0,0,0,0.0,120.0,Wind = 120 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.240278,-101.473611,0,0.0,0,0,-11295990.705474723,3794892.338749063,32.240278,-101.473611
335,-87.3336,40.583889,336,56777,Fowler Ridge Wind Farm LLC,AE Power Services LLC,55963,IPP Non-CHP,Fowler,Benton,Indiana,47944,91S 100 East,wind,600.3,600.3,0,0.0,0,0,0,0,0.0,600.3,Wind = 600.3 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.583889,-87.3336,0,0.0,0,0,-9721931.881143438,4951157.7798379315,40.583889,-87.3336
336,-102.355628,30.807272,337,56779,Sherbino I Wind Farm,Sherbino Mesa I Windfarm LLC,62811,IPP Non-CHP,Fort Stockton,Pecos,Texas,79735,568 Private Road 6038,wind,150.0,150.0,0,0.0,0,0,0,0,0.0,150.0,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,30.807272,-102.355628,0,0.0,0,0,-11394176.388785735,3607744.956689329,30.807272,-102.355628
337,-104.1836,46.2753,338,56782,Diamond Willow Wind Facility,Montana-Dakota Utilities Co,12199,Electric Utility,Baker,Fallon,Montana,59313,HWY 12,wind,30.0,30.0,0,0.0,0,0,0,0,0.0,30.0,Wind = 30 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,46.2753,-104.1836,0,0.0,0,0,-11597665.301010096,5824576.529029926,46.2753,-104.1836
